,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
1,1,5,106,10142660.0,0.0,215956.5,100.0,100.0,0.0,14601.511627906975,279229.0,2315508.0,www.portlandcountryclub.org,131,5585841.0,Portland Country Club,20.0,20.0,20.0,,
2,2,9,164,10202467.0,156641.66666666666,178086.0,12.041560444579217,40.0,60.0,56794.53846153846,202795.0,5994400.0,HTTPS://MDIBL.ORG,96,21825438.0,MOUNT DESERT ISLAND BIOLOGICALLABORATORY,0.0,31.25,50.0,50.0,
3,3,11,190,10211485.0,215261.0,0.0,-1.0,0.0,100.0,12169.816666666668,215261.0,3136017.0,WWW.BANGORY.ORG,241,15937355.0,BANGOR YOUNG MEN'S CHRISTIANASSOCIATION,,40.0,50.0,,
5,6,14,206,10211508.0,0.0,188489.0,100.0,100.0,0.0,45208.74226804124,188489.0,4573737.0,www.gwh.org,98,7070394.0,Good Will Home Association,,20.0,40.0,,
6,8,16,208,10211512.0,183990.0,0.0,-1.0,0.0,100.0,29211.13157894737,183990.0,3514059.0,www.parkdanforth.com,115,7432134.0,Home for the Aged,,57.14285714285714,71.42857142857143,,
8,11,21,234,10211568.0,238627.0,0.0,-1.0,0.0,100.0,12990.41447368421,238627.0,4187713.0,YMCAOFSOUTHERNMAINE.ORG,305,6905493.0,YOUNG MENS CHRISTIAN ASSOCIATION OFSOUTHERN MAINE,0.0,57.14285714285714,60.0,,
10,13,23,248,10211807.0,277353.5,173406.5,-59.94411974176285,75.0,25.0,41134.10546875,284416.0,43716470.0,www.sweetser.org,1032,62475521.0,Sweetser,60.0,46.15384615384615,50.0,,
12,16,26,262,10212442.0,0.0,195073.0,100.0,100.0,0.0,32727.22950819672,225279.0,6379229.0,WWW.PINETREESOCIETY.ORG,185,9921182.0,PINE TREE SOCIETY INC,,33.33333333333333,57.14285714285714,,
14,20,31,293,10216328.0,213804.3333333333,219741.3333333333,2.70181304078735,66.66666666666666,33.33333333333333,72511.29896907216,378716.0,8993457.0,WWW.EVERGREENCREDITUNION.ORG,106,18374213.0,EVERGREEN CREDIT UNION,20.0,40.0,66.66666666666666,0.0,
16,23,36,330,10221344.0,0.0,194946.0,100.0,100.0,0.0,51638.045454545456,194946.0,3603057.0,www.bridgtonacademy.org,67,12393178.0,Bridgton Academy,0.0,25.0,0.0,,
20,31,45,407,10241767.0,188857.0,0.0,-1.0,0.0,100.0,65493.15384615384,188857.0,3594501.0,www.uwsme.org,53,13282477.0,United Way Inc,50.0,44.44444444444444,33.33333333333333,,
21,32,46,413,10243254.0,0.0,182302.0,100.0,100.0,0.0,27152.735064935063,182302.0,10636105.0,WWW.MORRISON-MAINE.ORG,386,18191979.0,MORRISON CENTER,,33.33333333333333,0.0,,
23,38,54,451,10263507.0,0.0,163626.0,100.0,100.0,0.0,47365.28767123288,163626.0,7078958.0,WWW.CENTRALAROOSTOOKASSOCIATION.COM,147,8687075.0,CENTRAL AROOSTOOK ASSOCIATION,,41.66666666666667,0.0,,
26,41,60,489,10269460.0,0.0,168544.0,100.0,100.0,0.0,24098.451612903227,168544.0,6144960.0,WWW.CHEWONKI.ORG,249,9681869.0,CHEWONKI FOUNDATION INC,100.0,31.25,37.5,,
27,43,62,504,10274725.0,163689.66666666666,184124.5,11.098378180705632,40.0,60.0,40119.37278106509,209981.0,27980014.0,www.opportunityalliance.org,681,84718963.0,The Opportunity Alliance,80.0,78.57142857142857,60.0,,
29,45,64,520,10277678.0,161789.5,0.0,-1.0,0.0,100.0,39261.50246305419,162866.0,16263749.0,WWW.KVCAP.ORG,408,54835180.0,KENNEBEC VALLEY COMMUNITY ACTIONPROGRAM,100.0,61.53846153846154,33.33333333333333,,
30,46,65,527,10278395.0,0.0,159897.0,100.0,100.0,0.0,34826.74297752809,166170.0,25116435.0,WOODFORDS.ORG,714,37650539.0,WOODFORDS FAMILY SERVICES,80.0,50.0,33.33333333333333,,
31,47,66,540,10280225.0,0.0,195443.0,100.0,100.0,0.0,26727.621993127148,215849.0,15946362.0,www.ccmaine.org,584,26893021.0,Catholic Charities Maine,33.33333333333333,42.85714285714285,25.0,,
