ein,org_name,city,state_code,dei_last_modified,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,total_revenue
59-1480970,Community Health Centers Inc,WINTER GARDEN,FL,2022-06-27 00:00:00,White/Caucasian/European,Female,,,,,,,,,13.0,1.0,3.0,4.0,,0.0,,5.0,,,,,8.0,5.0,,,,,,,,,,,,,,,,7.0,,,2.0,,,,5.0,,,,,5.0,2.0,,,,,,,,,,,,,,,,565.0,44.0,172.0,176.0,,2.0,,138.0,14.0,,19.0,,,,,,,,,,,,,,,,,,,70595389.0
94-1730465,Earthjustice,San Francisco,CA,2023-02-16 00:00:00,White/Caucasian/European,Female,Decline to state,Decline to state,Decline to state,,,,,,31.0,0.0,3.0,5.0,,2.0,,21.0,,,,,14.0,17.0,0.0,,,,,,,,,,,,,,,7.0,1.0,1.0,,,,,4.0,1.0,,,,4.0,3.0,,,,,,,,,,,,,,,,565.0,82.0,60.0,66.0,,4.0,,310.0,35.0,,8.0,,377.0,182.0,,6.0,,,,,,,,,,,,,,135320966.0
94-3087060,Abode Services,Fremont,CA,2021-02-11 16:54:06,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,14.0,6.0,1.0,,,,,7.0,,,,,3.0,11.0,,,,,14.0,,,,,,14.0,,,,14.0,23.0,3.0,5.0,6.0,,,,6.0,3.0,,,,,,,,23.0,,,,23.0,2.0,,,21.0,,,,23.0,564.0,66.0,124.0,141.0,,7.0,,120.0,53.0,,53.0,,,,,,564.0,,,,,,,,,,,,,113601389.0
36-2984043,Chinese American Service League Inc,Chicago,IL,2023-08-01 00:00:00,Asian/Asian American,Male,Not transgender (cisgender),Heterosexual or Straight,Decline to state,,,,,,22.0,18.0,,1.0,,,,3.0,,,,,9.0,13.0,,,,,,,,,,,,,,,,11.0,5.0,1.0,1.0,,0.0,,4.0,,,,,6.0,5.0,,,,,,,11.0,,,,11.0,,,,11.0,559.0,526.0,12.0,4.0,,,,17.0,,,,,,,,,,,,,,,,,,1.0,558.0,,,20315146.0
52-0880375,Urban Institute,WASHINGTON,DC,2021-05-26 12:14:18,White/Caucasian/European,Female,,,,,,,,,33.0,2.0,6.0,4.0,,,,19.0,2.0,,,,11.0,22.0,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,558.0,54.0,70.0,43.0,,2.0,,354.0,15.0,,,20.0,359.0,196.0,,,3.0,,,,,,,,,,,,,169926666.0
94-1399287,Hope Services,San Jose,CA,2022-04-20 13:26:21,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,3.0,,,,,,11.0,,,2.0,,6.0,9.0,,1.0,,,14.0,2.0,,1.0,12.0,3.0,,1.0,13.0,2.0,,5.0,2.0,,1.0,,,,2.0,,,,,2.0,3.0,,,,,5.0,,,,5.0,,,,5.0,,,557.0,96.0,25.0,219.0,,4.0,,186.0,27.0,,,0.0,383.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,,,,,26.0,,1.0,530.0,51941094.0
22-2702285,Starbridge Services Inc,Rochester,NY,2023-03-08 00:00:00,Black/African American,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,,4.0,,,,,12.0,,,,,12.0,4.0,,,,,16.0,,,1.0,15.0,,,,16.0,,,5.0,,2.0,,,,,3.0,,,,,5.0,0.0,,,,,5.0,,0.0,,5.0,,,,5.0,,,554.0,10.0,101.0,31.0,,1.0,,398.0,13.0,,,,445.0,109.0,,,,,,,,,,,,,,,,13376433.0
25-1505216,Achieva,Pittsburgh,PA,2022-09-29 00:00:00,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,21.0,,2.0,,,,,19.0,,,,,8.0,13.0,,,,,,,,,,,,1.0,20.0,,,5.0,,,,,,,5.0,,,,,2.0,3.0,,,,,,,,,,,,,,,5.0,553.0,11.0,108.0,6.0,,0.0,,422.0,6.0,,,0.0,388.0,165.0,,,,,,,,,,,,,,,,2583167.0
72-0435081,Louisiana United Methodist Children and Family Services Inc,RUSTON,LA,2021-09-21 01:12:29,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,4.0,319.0,3.0,,2.0,,208.0,7.0,,7.0,,384.0,166.0,,,,,,,,,,,,,,,,40673538.0
36-2167854,Roosevelt University,CHICAGO,IL,2019-12-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,3.0,,,,,8.0,,,,,5.0,7.0,,,,0.0,12.0,0.0,0.0,,,,12.0,,,,12.0,549.0,,,,,,,,,,,549.0,,,,,549.0,,,,549.0,,,,549.0,,,,549.0,156710679.0
13-3871360,American Civil Liberties Union Inc,NEW YORK,NY,2021-12-10 15:31:59,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",,,,,,,13.0,4.0,5.0,1.0,,,,3.0,,,,,7.0,6.0,,,,,13.0,,,,,,,,,,,9.0,,2.0,1.0,,,,6.0,,,,,4.0,5.0,,,,,9.0,,,3.0,,,6.0,,,,9.0,548.0,70.0,58.0,46.0,,3.0,,194.0,30.0,,147.0,,261.0,123.0,16.0,148.0,,7.0,377.0,164.0,,71.0,132.0,345.0,,40.0,329.0,179.0,,162150933.0
13-6213516,American Civil Liberties Union Foundation Inc,New York,NY,2021-12-09 16:44:22,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),"Gay, Lesbian, Bisexual, or other sexual orientations in the LGBTQIA+ community",Person without a disability,,,,,,13.0,4.0,5.0,1.0,,0.0,,3.0,,,,,7.0,6.0,,,,,13.0,,,,,,,,,,,9.0,,2.0,1.0,,,,6.0,,,,,4.0,5.0,,,,,9.0,,,3.0,,,6.0,,,,9.0,548.0,70.0,58.0,46.0,,3.0,,194.0,30.0,,147.0,,261.0,123.0,16.0,148.0,,7.0,377.0,164.0,,71.0,132.0,345.0,,40.0,329.0,179.0,,241948484.0
43-1125281,Goodwill of Western Missouri and Eastern Kansas,Kansas City,MO,2023-01-24 00:00:00,Black/African American,Male,Decline to state,Decline to state,Decline to state,,,,,,15.0,1.0,,1.0,,,,12.0,,,,1.0,8.0,6.0,,0.0,1.0,,14.0,,1.0,1.0,12.0,1.0,1.0,1.0,13.0,,1.0,4.0,,3.0,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,4.0,,,532.0,8.0,123.0,22.0,,9.0,,336.0,,,,34.0,315.0,217.0,,,,,,,,,,,,162.0,342.0,28.0,,27879182.0
95-1661688,San Diego Humane Society and S P C A,San Diego,CA,2021-08-09 15:35:37,White/Caucasian/European,Male,,,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,8.0,,,,,5.0,4.0,,,,,,,,,,,,,9.0,,,531.0,24.0,10.0,128.0,,3.0,,336.0,30.0,,,,434.0,93.0,4.0,,,,,,,,,,,5.0,526.0,,,59371127.0
95-1816023,Didi Hirsch Psychiatric Service,Culver City,CA,2022-08-29 00:00:00,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,16.0,,,,,,,,,,,,9.0,7.0,,,,,,,,,,,,,,,,7.0,,,,,,,7.0,,,,,5.0,2.0,,,,,,,,1.0,,,6.0,,,,,531.0,42.0,50.0,225.0,,1.0,,168.0,22.0,,,23.0,424.0,107.0,,,,,,,,,,,,,,,,55301593.0
