,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
1,01-0482628,Jobs for Maines Graduates Inc,Augusta,ME,1695945600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Decline to state,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,24.0,,,1.0,,1.0,,22.0,,,,,12.0,12.0,,,,,,,,,,,,,,,,10.0,,,,,,,10.0,,,,,5.0,5.0,,,,,10.0,,,,,,,,,,,180.0,1.0,3.0,6.0,,1.0,,163.0,6.0,,,,114.0,66.0,,,,,,,,,,,,,,,,235674.0,213760.5,-10.25142624572828,0.6666666666666666,0.3333333333333333,,0.0,11309773.0,www.jmg.org,179,14678045.0
2,01-0504905,Gulf of Maine Research Institute,Portland,ME,1694390400000000000,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,,,,,85.0,3.0,1.0,1.0,1.0,0.0,0.0,68.0,0.0,,4.0,7.0,,,,,,,,,,,,,,11.0,60.0,3.0,11.0,166264.6,391879.25,57.57249203676898,0.4444444444444444,0.5555555555555556,41375.18320610687,977818.0,7818989.0,WWW.GMRI.ORG,140,15490107.0
3,01-0566033,Israel Emergency Alliance,Los Angeles,CA,1660521600000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,42.0,,,,,,,42.0,,,,,18.0,24.0,,,,,42.0,,,,,,42.0,,,,42.0,21.0,,,1.0,,,,20.0,,,,,12.0,9.0,,,,,,,21.0,,,,21.0,,,,21.0,124.0,,3.0,6.0,,,,114.0,1.0,,,,81.0,43.0,,,,,,,124.0,,,,124.0,2.0,,,122.0,244368.0,223184.66666666666,-9.49139277787901,0.6,0.4,70751.83928571429,289536.0,9082496.0,WWW.STANDWITHUS.COM,117,23212771.0
5,01-0679337,San Francisco Foundation,San Francisco,CA,1659312000000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,2.0,4.0,1.0,,0.0,,3.0,1.0,1.0,,,5.0,7.0,,,,0.0,12.0,,,1.0,11.0,,,0.0,12.0,,,7.0,1.0,2.0,1.0,,0.0,,3.0,0.0,,0.0,0.0,4.0,3.0,,,,,,,,,,,,,,,,74.0,15.0,15.0,13.0,,,,21.0,7.0,3.0,,,56.0,18.0,0.0,0.0,0.0,,,,,,,,,5.0,69.0,,,277451.28571428574,364519.3333333333,23.8857145992387,0.3,0.7,107110.19658119658,565279.0,15567610.0,WWW.SFF.ORG,127,297436709.0
9,01-6000802,Portland Public Library,Portland,ME,1632147761000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,56.0,1.0,2.0,2.0,,,,50.0,,,,1.0,,,,,,,,,,,,,,,,,,151670.0,0.0,-1.0,0.0,1.0,36858.9587628866,151670.0,3726989.0,www.portlandlibrary.com,98,9283612.0
10,01-6021200,Midcoast Humane,Brunswick,ME,1695859200000000000,White/Caucasian/European,Female,Not transgender (cisgender),,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,123318.0,0.0,-1.0,0.0,1.0,25683.96,123318.0,1407516.0,www.midcoasthumane.org,51,4016788.0
11,02-0259874,Boys & Girls Club of Central New Hampshire Inc,Concord,NH,1691625600000000000,Asian/Asian American,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,120.0,,7.0,2.0,,,,59.0,2.0,,50.0,,,,,,,,,,,,,,,,,,,0.0,151912.0,100.0,1.0,0.0,23658.98253275109,151912.0,5569819.0,WWW.NHYOUTH.ORG,230,8851535.0
12,02-0261932,Holt-Elwell Memorial Foundation,Hebron,NH,1665964800000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,20.0,1.0,2.0,1.0,,,,14.0,2.0,,,,4.0,16.0,,,,,20.0,,,,20.0,,,,,,,5.0,,,,,,,5.0,,,,,2.0,3.0,,,,,5.0,,,,5.0,,,1.0,4.0,,,50.0,2.0,2.0,12.0,,,,30.0,4.0,,,,10.0,38.0,2.0,,,,50.0,,,10.0,40.0,,,,50.0,,,0.0,152326.0,100.0,1.0,0.0,8340.19642857143,152326.0,619377.0,WWW.MOWGLIS.ORG,57,1605719.0
13,02-0458174,Amoskeag Health,MANCHESTER,NH,1678665600000000000,White/Caucasian/European,Female,,,,,,,,,16.0,2.0,1.0,2.0,,,,11.0,,,,,8.0,8.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,247.0,16.0,8.0,48.0,,2.0,,169.0,3.0,,1.0,,222.0,25.0,,,,,,,,,,,,,,,,217750.5,315292.5,30.936987083422533,0.25,0.75,47976.425531914894,333173.0,17721332.0,www.amoskeaghealth.org,337,24250570.0
15,02-0784790,Fii - National,Oakland,CA,1678665600000000000,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),,,,,,,,11.0,,,,,,,,,,,,4.0,7.0,,,,,,,,,,,,,,,,4.0,2.0,1.0,0.0,,,,1.0,0.0,,,,3.0,1.0,,,,,,,,,,,,,,,,59.0,9.0,17.0,10.0,,,,15.0,4.0,,4.0,,40.0,17.0,2.0,,,,,,,,,,,,,,,160044.25,213224.33333333334,24.94090730732734,0.42857142857142855,0.5714285714285714,91341.5625,271317.0,5664245.0,WWW.UPTOGETHER.ORG,55,76416139.0
16,02-6006033,Granite United Way,Manchester,NH,1646995274000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,28.0,2.0,,1.0,,,,18.0,,,,7.0,12.0,16.0,,,,,,,28.0,,,,28.0,,28.0,,,4.0,,,,,,,,,,,4.0,2.0,2.0,,,,,,,4.0,,,,4.0,,,,4.0,60.0,,,,,,,,,,,60.0,,,,,60.0,,,,60.0,,,,60.0,,,,60.0,0.0,228797.0,100.0,1.0,0.0,50481.0,228797.0,4216796.0,WWW.GRANITEUW.ORG,80,19030593.0
19,03-0284103,Aspire Living & Learning Inc,Barre,VT,1619623919000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,7.0,,1.0,,,,,6.0,,,,,4.0,3.0,,,,,,,7.0,,7.0,,,,,,7.0,6.0,,,,,,,6.0,,,,,4.0,2.0,,,,,,,6.0,1.0,5.0,,,,,,6.0,1200.0,21.0,449.0,63.0,,,,561.0,13.0,,93.0,,838.0,362.0,,,,,,,1200.0,,,,1200.0,,,,1200.0,163075.83333333334,187420.8,12.989468973916793,0.45454545454545453,0.5454545454545454,35451.85055230669,224677.0,56475957.0,WWW.ALLINC.ORG,1550,84691072.0
21,03-0335768,Tri-Valley Transit Inc,Middlebury,VT,1674000000000000000,White/Caucasian/European,Male,Decline to state,Decline to state,Decline to state,,,,,,7.0,,,,,,,,,,7.0,,2.0,5.0,,,,,,7.0,,,,7.0,,,,7.0,,7.0,,,,,,,7.0,,,,,4.0,3.0,,,,,,,,,,,,,,,,60.0,,,1.0,,,,55.0,,,4.0,,,,,,,,,,,,,,,,,,,0.0,159557.0,100.0,1.0,0.0,51516.015384615384,159557.0,3508098.0,WWW.TRIVALLEYTRANSIT.ORG,66,7100109.0
