,ein,org_name,city,state_code,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue
0,01-0482628,Jobs for Maines Graduates Inc,Augusta,ME,24.0,,,4.166666666666666,,4.166666666666666,,91.66666666666666,,,,,50.0,50.0,,,,,,10.0,,,,,,,100.0,,,,,50.0,50.0,,,,,100.0,180.0,0.5555555555555556,1.6666666666666667,3.333333333333333,,0.5555555555555556,,90.55555555555556,3.333333333333333,,,,63.33333333333333,36.66666666666666,,,,,,235674.0,213760.5,-10.25142624572828,0.6666666666666666,0.3333333333333333,,0.0,11309773.0,www.jmg.org,179,14678045.0
1,01-0504905,Gulf of Maine Research Institute,Portland,ME,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,62.5,37.5,,,,,,85.0,3.5294117647058822,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0,0.0,80.0,0.0,,4.705882352941177,8.235294117647058,,,,,,,,166264.6,391879.25,57.57249203676898,0.4444444444444444,0.5555555555555556,41375.18320610687,977818.0,7818989.0,WWW.GMRI.ORG,140,15490107.0
2,01-0566033,Israel Emergency Alliance,Los Angeles,CA,42.0,,,,,,,100.0,,,,,42.85714285714285,57.14285714285714,,,,,100.0,21.0,,,4.761904761904762,,,,95.23809523809524,,,,,57.14285714285714,42.85714285714285,,,,,,124.0,,2.419354838709677,4.838709677419355,,,,91.93548387096774,0.8064516129032258,,,,65.32258064516128,34.67741935483871,,,,,,244368.0,223184.66666666663,-9.49139277787901,0.6,0.4,70751.83928571429,289536.0,9082496.0,WWW.STANDWITHUS.COM,117,23212771.0
3,01-0679337,San Francisco Foundation,San Francisco,CA,12.0,16.666666666666664,33.33333333333333,8.333333333333332,,0.0,,25.0,8.333333333333332,8.333333333333332,,,41.66666666666667,58.333333333333336,,,,0.0,100.0,7.0,14.285714285714285,28.57142857142857,14.285714285714285,,0.0,,42.85714285714285,0.0,,0.0,0.0,57.14285714285714,42.85714285714285,,,,,,74.0,20.27027027027027,20.27027027027027,17.56756756756757,,,,28.37837837837838,9.45945945945946,4.054054054054054,,,75.67567567567568,24.324324324324326,0.0,0.0,0.0,,,277451.28571428574,364519.3333333333,23.8857145992387,0.3,0.7,107110.19658119658,565279.0,15567610.0,WWW.SFF.ORG,127,297436709.0
4,01-6000802,Portland Public Library,Portland,ME,18.0,,,,,,,,,,,,50.0,50.0,,,,,,4.0,,,,,,,,,,,,100.0,,,,,,,56.0,1.7857142857142856,3.571428571428571,3.571428571428571,,,,89.28571428571429,,,,1.7857142857142856,,,,,,,,151670.0,0.0,-1.0,0.0,1.0,36858.9587628866,151670.0,3726989.0,www.portlandlibrary.com,98,9283612.0
5,01-6021200,Midcoast Humane,Brunswick,ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,100.0,,,123318.0,0.0,-1.0,0.0,1.0,25683.96,123318.0,1407516.0,www.midcoasthumane.org,51,4016788.0
6,02-0259874,Boys & Girls Club of Central New Hampshire Inc,Concord,NH,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,66.66666666666666,,,33.33333333333333,,,,,,,,,120.0,,5.833333333333333,1.6666666666666667,,,,49.16666666666666,1.6666666666666667,,41.66666666666667,,,,,,,,,0.0,151912.0,100.0,1.0,0.0,23658.98253275109,151912.0,5569819.0,WWW.NHYOUTH.ORG,230,8851535.0
7,02-0261932,Holt-Elwell Memorial Foundation,Hebron,NH,20.0,5.0,10.0,5.0,,,,70.0,10.0,,,,20.0,80.0,,,,,100.0,5.0,,,,,,,100.0,,,,,40.0,60.0,,,,,100.0,50.0,4.0,4.0,24.0,,,,60.0,8.0,,,,20.0,76.0,4.0,,,,100.0,0.0,152326.0,100.0,1.0,0.0,8340.19642857143,152326.0,619377.0,WWW.MOWGLIS.ORG,57,1605719.0
8,02-0458174,Amoskeag Health,MANCHESTER,NH,16.0,12.5,6.25,12.5,,,,68.75,,,,,50.0,50.0,,,,,,5.0,,,,,,,100.0,,,,,80.0,20.0,,,,,,247.0,6.477732793522267,3.238866396761133,19.4331983805668,,0.8097165991902834,,68.42105263157895,1.214574898785425,,0.4048582995951417,,89.87854251012146,10.121457489878544,,,,,,217750.5,315292.5,30.936987083422533,0.25,0.75,47976.425531914894,333173.0,17721332.0,www.amoskeaghealth.org,337,24250570.0
9,02-0784790,Fii - National,Oakland,CA,11.0,,,,,,,,,,,,36.36363636363637,63.63636363636363,,,,,,4.0,50.0,25.0,0.0,,,,25.0,0.0,,,,75.0,25.0,,,,,,59.0,15.254237288135592,28.8135593220339,16.94915254237288,,,,25.42372881355932,6.779661016949152,,6.779661016949152,,67.79661016949152,28.8135593220339,3.389830508474576,,,,,160044.25,213224.3333333333,24.94090730732734,0.4285714285714285,0.5714285714285714,91341.5625,271317.0,5664245.0,WWW.UPTOGETHER.ORG,55,76416139.0
