Unnamed: 0,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
1,10482628,Jobs for Maines Graduates Inc,Augusta,ME,1695945600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Decline to state,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,24.0,,,4.166666666666666,,4.166666666666666,,91.66666666666666,,,,,50.0,50.0,,,,,,,,,,,,,,,,10.0,,,,,,,100.0,,,,,50.0,50.0,,,,,100.0,,,,,,,,,,,180.0,0.5555555555555556,1.6666666666666667,3.3333333333333335,,0.5555555555555556,,90.55555555555556,3.3333333333333335,,,,63.33333333333333,36.666666666666664,,,,,,,,,,,,,,,,235674.0,213760.5,-10.25142624572828,66.66666666666666,33.33333333333333,,0.0,11309773.0,www.jmg.org,179,14678045.0,100.0,57.14285714285714,28.57142857142857,,
2,10504905,Gulf of Maine Research Institute,Portland,ME,1694390400000000000,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,62.5,37.5,,,,,,,,,,,,,,,,85.0,3.5294117647058822,1.1764705882352942,1.1764705882352942,1.1764705882352942,0.0,0.0,80.0,0.0,,4.705882352941177,8.235294117647058,,,,,,,,,,,,,,11.0,60.0,3.0,11.0,166264.6,391879.25,57.57249203676898,44.44444444444444,55.55555555555556,41375.18320610687,977818.0,7818989.0,WWW.GMRI.ORG,140,15490107.0,40.0,55.00000000000001,33.33333333333333,66.66666666666666,
3,10566033,Israel Emergency Alliance,LOS ANGELES,CA,1660521600000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,42.0,,,,,,,100.0,,,,,42.857142857142854,57.14285714285714,,,,,100.0,,,,,,42.0,,,,42.0,21.0,,,4.761904761904762,,,,95.23809523809523,,,,,57.14285714285714,42.857142857142854,,,,,,,21.0,,,,21.0,,,,21.0,124.0,,2.4193548387096775,4.838709677419355,,,,91.93548387096774,0.8064516129032258,,,,65.32258064516128,34.67741935483871,,,,,,,124.0,,,,124.0,2.0,,,122.0,244368.0,223184.66666666663,-9.49139277787901,60.0,40.0,70751.83928571429,289536.0,9082496.0,WWW.STANDWITHUS.COM,117,23212771.0,60.0,56.25,27.27272727272727,,
5,10679337,San Francisco Foundation,San Francisco,CA,1659312000000000000,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,12.0,16.666666666666664,33.33333333333333,8.333333333333332,,0.0,,25.0,8.333333333333332,8.333333333333332,,,41.66666666666667,58.333333333333336,,,,0.0,100.0,,,1.0,11.0,,,0.0,12.0,,,7.0,14.285714285714285,28.57142857142857,14.285714285714285,,0.0,,42.857142857142854,0.0,,0.0,0.0,57.14285714285714,42.857142857142854,,,,,,,,,,,,,,,,74.0,20.27027027027027,20.27027027027027,17.56756756756757,,,,28.37837837837838,9.45945945945946,4.054054054054054,,,75.67567567567568,24.324324324324326,0.0,0.0,0.0,,,,,,,,,5.0,69.0,,,277451.28571428574,364519.3333333333,23.8857145992387,30.0,70.0,107110.19658119658,565279.0,15567610.0,WWW.SFF.ORG,127,297436709.0,80.0,40.0,50.0,100.0,
9,16000802,Portland Public Library,Portland,ME,1632147761000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,,,,,,,,,,,,50.0,50.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,56.0,1.7857142857142856,3.571428571428571,3.571428571428571,,,,89.28571428571429,,,,1.7857142857142856,,,,,,,,,,,,,,,,,,151670.0,0.0,-1.0,0.0,100.0,36858.9587628866,151670.0,3726989.0,www.portlandlibrary.com,98,9283612.0,,47.05882352941176,80.0,,
10,16021200,Midcoast Humane,Brunswick,ME,1695859200000000000,White/Caucasian/European,Female,Not transgender (cisgender),,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,123318.0,0.0,-1.0,0.0,100.0,25683.96,123318.0,1407516.0,www.midcoasthumane.org,51,4016788.0,,80.0,20.0,100.0,100.0
11,20259874,Boys & Girls Club of Central New Hampshire Inc,Concord,NH,1691625600000000000,Asian/Asian American,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,66.66666666666666,,,33.33333333333333,,,,,,,,,,,,,,,,,,,120.0,,5.833333333333333,1.6666666666666667,,,,49.166666666666664,1.6666666666666667,,41.66666666666667,,,,,,,,,,,,,,,,,,,0.0,151912.0,100.0,100.0,0.0,23658.98253275109,151912.0,5569819.0,WWW.NHYOUTH.ORG,230,8851535.0,,27.77777777777778,40.0,,
12,20261932,Holt-Elwell Memorial Foundation,Hebron,NH,1665964800000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,20.0,5.0,10.0,5.0,,,,70.0,10.0,,,,20.0,80.0,,,,,100.0,,,,20.0,,,,,,,5.0,,,,,,,100.0,,,,,40.0,60.0,,,,,100.0,,,,5.0,,,1.0,4.0,,,50.0,4.0,4.0,24.0,,,,60.0,8.0,,,,20.0,76.0,4.0,,,,100.0,,,10.0,40.0,,,,50.0,,,0.0,152326.0,100.0,100.0,0.0,8340.19642857143,152326.0,619377.0,WWW.MOWGLIS.ORG,57,1605719.0,,25.0,20.0,,
13,20458174,Amoskeag Health,MANCHESTER,NH,1678665600000000000,White/Caucasian/European,Female,,,,,,,,,16.0,12.5,6.25,12.5,,,,68.75,,,,,50.0,50.0,,,,,,,,,,,,,,,,5.0,,,,,,,100.0,,,,,80.0,20.0,,,,,,,,,,,,,,,,247.0,6.477732793522267,3.2388663967611335,19.4331983805668,,0.8097165991902834,,68.42105263157895,1.214574898785425,,0.4048582995951417,,89.87854251012146,10.121457489878543,,,,,,,,,,,,,,,,234239.42857142855,297412.0,21.240760772454177,12.5,87.5,47976.425531914894,333173.0,17721332.0,www.amoskeaghealth.org,337,24250570.0,80.0,57.14285714285714,66.66666666666666,,
15,20784790,Fii - National,Oakland,CA,1678665600000000000,Hispanic/Latino/Latina/Latinx,Male,Not transgender (cisgender),,,,,,,,11.0,,,,,,,,,,,,36.36363636363637,63.63636363636363,,,,,,,,,,,,,,,,4.0,50.0,25.0,0.0,,,,25.0,0.0,,,,75.0,25.0,,,,,,,,,,,,,,,,59.0,15.254237288135593,28.8135593220339,16.94915254237288,,,,25.423728813559322,6.779661016949152,,6.779661016949152,,67.79661016949152,28.8135593220339,3.389830508474576,,,,,,,,,,,,,,,160044.25,213224.3333333333,24.94090730732734,42.85714285714285,57.14285714285714,91341.5625,271317.0,5664245.0,WWW.UPTOGETHER.ORG,55,76416139.0,40.0,33.33333333333333,66.66666666666666,,100.0
