,EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,total_compensation,web_address,num_employees,total_revenue
0,10482628,JOBS FOR MAINES GRADUATES INC,% LINDA COOK,65 STONE ST,AUGUSTA,ME,04330-6115,0,3,3,1000,199501,1,15,998000000,1,1,202206.0,8,8,1,0,6,16217336.0,14678045.0,14678045.0,,,10482628,Jobs for Maines Graduates Inc,Augusta,ME,1695945600000000000,White/Caucasian/European,Male,Not transgender (cisgender),Decline to state,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Decline to state,Person without a disability,24.0,,,1.0,,1.0,,22.0,,,,,12.0,12.0,,,,,,,,,,,,,,,,10.0,,,,,,,10.0,,,,,5.0,5.0,,,,,10.0,,,,,,,,,,,180.0,1.0,3.0,6.0,,1.0,,163.0,6.0,,,,114.0,66.0,,,,,,,,,,,,,,,,235674.0,213760.5,-10.25142624572828,0.6666666666666666,0.3333333333333333,11309773,www.jmg.org,179,14678045
1,10504905,GULF OF MAINE RESEARCH INSTITUTE,% DONALD W PERKINS JR,350 COMMERCIAL ST,PORTLAND,ME,04101-4618,0,3,3,1000,199605,1,15,994400000,1,1,202206.0,8,8,1,0,6,45327842.0,16621243.0,15490107.0,D500,GULF OF MAINE AQUARIUM,10504905,Gulf of Maine Research Institute,Portland,ME,1694390400000000000,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,5.0,3.0,,,,,,,,,,,,,,,,85.0,3.0,1.0,1.0,1.0,0.0,0.0,68.0,0.0,,4.0,7.0,,,,,,,,,,,,,,11.0,60.0,3.0,11.0,166264.6,391879.25,57.57249203676898,0.4444444444444444,0.5555555555555556,7818989,WWW.GMRI.ORG,140,15490107
2,16000802,PORTLAND PUBLIC LIBRARY,% PRESIDENT,5 MONUMENT SQ,PORTLAND,ME,04101-4017,0,3,3,3000,194301,1,15,61000000,1,1,202206.0,8,8,1,0,6,16295228.0,10098833.0,9283612.0,B71Z,,16000802,Portland Public Library,Portland,ME,1632147761000000000,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,18.0,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,56.0,1.0,2.0,2.0,,,,50.0,,,,1.0,,,,,,,,,,,,,,,,,,151670.0,0.0,-1.0,0.0,1.0,3726989,www.portlandlibrary.com,98,9283612
3,16021200,MIDCOAST HUMANE,,190 PLEASANT ST,BRUNSWICK,ME,04011-2213,0,3,3,4000,196601,1,15,999000000,1,1,202112.0,8,6,1,0,12,10029292.0,4016788.0,4016788.0,D200,,16021200,Midcoast Humane,Brunswick,ME,1695859200000000000,White/Caucasian/European,Female,Not transgender (cisgender),,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,123318.0,0.0,-1.0,0.0,1.0,1407516,www.midcoasthumane.org,51,4016788
4,20259874,BOYS & GIRLS CLUB OF CENTRAL NEW HAMPSHIRE INC,,55 BRADLEY ST,CONCORD,NH,03301-6439,0,3,3,1000,196312,1,16,298325927,1,1,202112.0,8,7,1,0,12,13472672.0,8992771.0,8851535.0,O23,,20259874,Boys & Girls Club of Central New Hampshire Inc,Concord,NH,1691625600000000000,Asian/Asian American,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,120.0,,7.0,2.0,,,,59.0,2.0,,50.0,,,,,,,,,,,,,,,,,,,0.0,151912.0,100.0,1.0,0.0,5569819,WWW.NHYOUTH.ORG,230,8851535
5,20261932,HOLT-ELWELL MEMORIAL FOUNDATION,,PO BOX 9,HEBRON,NH,03241-0009,0,3,3,1200,196403,1,15,325030040,1,1,202210.0,6,6,1,0,10,4833943.0,2003760.0,1605719.0,N20Z,,20261932,Holt-Elwell Memorial Foundation,Hebron,NH,1665964800000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,20.0,1.0,2.0,1.0,,,,14.0,2.0,,,,4.0,16.0,,,,,20.0,,,,20.0,,,,,,,5.0,,,,,,,5.0,,,,,2.0,3.0,,,,,5.0,,,,5.0,,,1.0,4.0,,,50.0,2.0,2.0,12.0,,,,30.0,4.0,,,,10.0,38.0,2.0,,,,50.0,,,10.0,40.0,,,,50.0,,,0.0,152326.0,100.0,1.0,0.0,619377,WWW.MOWGLIS.ORG,57,1605719
6,20458174,AMOSKEAG HEALTH,,145 HOLLIS ST,MANCHESTER,NH,03101-1235,0,3,3,1000,199205,1,12,154150179,1,1,202206.0,8,8,1,0,6,10551699.0,24250570.0,24250570.0,E32Z,,20458174,Amoskeag Health,MANCHESTER,NH,1678665600000000000,White/Caucasian/European,Female,,,,,,,,,16.0,2.0,1.0,2.0,,,,11.0,,,,,8.0,8.0,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,4.0,1.0,,,,,,,,,,,,,,,,247.0,16.0,8.0,48.0,,2.0,,169.0,3.0,,1.0,,222.0,25.0,,,,,,,,,,,,,,,,217750.5,315292.5,30.936987083422533,0.25,0.75,17721332,www.amoskeaghealth.org,337,24250570
7,26006033,GRANITE UNITED WAY,,22 CONCORD ST STE 4,MANCHESTER,NH,03101-1817,0,3,3,1000,195508,1,15,927602000,1,1,202206.0,8,8,1,0,6,10904464.0,19054755.0,19030593.0,,,26006033,Granite United Way,Manchester,NH,1646995274000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,28.0,2.0,,1.0,,,,18.0,,,,7.0,12.0,16.0,,,,,,,28.0,,,,28.0,,28.0,,,4.0,,,,,,,,,,,4.0,2.0,2.0,,,,,,,4.0,,,,4.0,,,,4.0,60.0,,,,,,,,,,,60.0,,,,,60.0,,,,60.0,,,,60.0,,,,60.0,0.0,228797.0,100.0,1.0,0.0,4216796,WWW.GRANITEUW.ORG,80,19030593
8,30179436,SHELBURNE MUSEUM INCORPORATED,% ANDREA BERGERON,PO BOX 10,SHELBURNE,VT,05482-0010,0,3,3,2000,194907,1,15,60059062,1,1,202203.0,9,8,1,0,3,56455494.0,12505545.0,11449784.0,A50,,30179436,Shelburne Museum Incorporated,Shelburne,VT,1653307089000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,8.0,,4.0,4.0,,,,,,,,,,,,,,8.0,,60.0,,,,,,,,,,60.0,,29.0,31.0,,,,,,,,,,,,,,60.0,,0.0,321436.0,100.0,1.0,0.0,3840264,WWW.SHELBURNEMUSEUM.ORG,139,11449784
9,30284103,ASPIRE LIVING & LEARNING INC,% AIRPORT RD,2096 AIRPORT RD,BARRE,VT,05641-8710,0,3,3,2000,198212,1,16,124000000,1,1,202206.0,8,9,1,0,6,31445013.0,92100051.0,90937720.0,P700,AIRPORT RD,30284103,Aspire Living & Learning Inc,Barre,VT,1619623919000000000,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,7.0,,1.0,,,,,6.0,,,,,4.0,3.0,,,,,,,7.0,,7.0,,,,,,7.0,6.0,,,,,,,6.0,,,,,4.0,2.0,,,,,,,6.0,1.0,5.0,,,,,,6.0,1200.0,21.0,449.0,63.0,,,,561.0,13.0,,93.0,,838.0,362.0,,,,,,,1200.0,,,,1200.0,,,,1200.0,167302.2,188716.33333333334,11.34726017355855,0.375,0.625,59662877,WWW.ALLINC.ORG,1565,90937720
