ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female,category
113502051,343129.0,203262.0,-68.81118949926696,50.0,50.0,,0.0,364228.0,WWW.SCSNY.ORG,138,544064.0,SUNNYSIDE CITYWIDE HOMECARESERVICES INC,,50.0,28.57142857142857,,,other
30279740,0.0,578097.6666666666,100.0,100.0,0.0,,0.0,-6508.0,WWW.SVHEALTHCARE.ORG,190,603121.0,MOUNT ANTHONY HOUSING CORPORATION,,33.33333333333333,40.0,,,other
41077435,0.0,183493.0,100.0,100.0,0.0,4030.4592592592594,183493.0,727605.0,www.bellevuegolfclub.com,136,628396.0,BELLEVUE GOLF CLUB,25.0,33.33333333333333,0.0,,,other
131394732,72000.0,0.0,-1.0,0.0,100.0,2982.294117647059,72000.0,224097.0,WWW.THEWORKINGTHEATER.ORG,52,662977.0,THE WORKING THEATRE CO INC,,53.84615384615385,66.66666666666666,100.0,,other
50343255,0.0,178952.0,100.0,100.0,0.0,9948.0,178952.0,716144.0,,55,937623.0,INTERNATIONAL BROTHERHOOD OFELECTRICAL WORKERS LOCAL 2323,0.0,,16.666666666666664,,,other
42189090,0.0,186954.0,100.0,100.0,0.0,6310.366412213741,186954.0,1013612.0,NALCBRANCH34.COM,132,1055468.0,NATIONAL ASSOCIATION OF LETTER CARRIERSBRANCH 34 AFL-CIO,,,19.23076923076924,,,other
46141765,197399.0,0.0,-1.0,0.0,100.0,8166.067567567567,197399.0,801688.0,WWW.HILLHOUSEBOSTON.ORG,75,1163711.0,HILL HOUSE INC,100.0,70.58823529411765,75.0,,,other
131717072,158654.0,455515.5,65.17044974320302,66.66666666666666,33.33333333333333,-1661.81592039801,680858.0,735660.0,WWW.LEEWOODGOLFCLUB.ORG,204,1185250.0,LEEWOOD GOLF CLUB INC,0.0,28.57142857142857,0.0,50.0,,other
10648561,163869.0,0.0,-1.0,0.0,100.0,13215.132352941177,163869.0,1062498.0,WWW.HEALTH360.ORG,69,1220499.0,HEALTH360 INC,,40.0,33.33333333333333,,,other
42435675,383584.8571428572,1230568.0,68.8286338387755,41.66666666666667,58.333333333333336,,188195.0,0.0,WWW.HOMEHEALTHFOUNDATION.ORG,201,1235912.0,HOME HEALTH VNA INC,80.0,37.5,62.5,,100.0,hospital
43227007,0.0,159695.0,100.0,100.0,0.0,12844.072727272727,159695.0,866119.0,WWW.LITERATIONS.ORG,56,1263144.0,LITERATIONS CORP,,50.0,66.66666666666666,,,other
42225599,248151.0,0.0,-1.0,0.0,100.0,,0.0,0.0,,237,1314716.0,BSA PAID HOLIDAYS,,33.33333333333333,,,,other
20438863,150546.0,211544.0,28.83466323790796,50.0,50.0,,0.0,888847.0,www.lakesunapeevna.org,75,1410301.0,Lake Sunapee Community Health ServicesInc,,0.0,20.0,,,hospital
50231650,204017.0,191579.0,-6.4923608537470185,50.0,50.0,3609.35593220339,204017.0,608548.0,WWW.UCLUBPROV.COM,61,1444968.0,THE UNIVERSITY CLUB,,40.0,20.0,50.0,,college
42150650,0.0,159994.0,100.0,100.0,0.0,8298.1,159994.0,657880.0,WWW.BEVERLYYACHTCLUB.ORG,61,1467972.0,BEVERLY YACHT CLUB INC,,57.14285714285714,75.0,0.0,,other
41271260,0.0,188049.0,100.0,100.0,0.0,9178.527272727271,188049.0,692868.0,WWW.EPYC.NET,56,1503224.0,EASTERN POINT YACHT CLUB,,62.5,33.33333333333333,,,other
20258168,0.0,153548.0,100.0,100.0,0.0,,0.0,625647.0,WWW.BFCAMP.COM,103,1535720.0,CAMP BERNADETTE AND CAMP FATIMA INC,,50.0,16.666666666666664,,,other
42235959,0.0,158917.0,100.0,100.0,0.0,18546.96721311476,158917.0,1290282.0,WWW.FCSLYNN.ORG,62,1628605.0,FAMILY & CHILDREN'S SERVICE OF GREATERLYNN INC,,41.66666666666667,42.85714285714285,,,other
41070815,0.0,31824.5,100.0,80.0,20.0,9668.934210526317,127298.0,862137.0,,81,1639292.0,THE BEACH CLUB,,55.55555555555556,50.0,,20.0,other
26034452,0.0,169612.0,100.0,100.0,0.0,7456.05,169612.0,616975.0,WWW.KABEYUN.ORG,61,1657764.0,JOHN & ANNA NEWTON PORTERFOUNDATION,,33.33333333333333,0.0,,,other
43047156,154679.0,0.0,-1.0,0.0,100.0,10143.526315789471,154679.0,732860.0,HTTPS://WWW.7LAKESALLIANCE.ORG/,58,1663559.0,BELGRADE REGIONAL CONSERVATIONALLIANCE INC,,18.75,80.0,,,other
43238554,0.0,196705.0,100.0,100.0,0.0,2716.235772357724,196705.0,530802.0,WWW.BMOP.ORG,124,1718506.0,BOSTON MODERN ORCHESTRA PROJECTINC,,25.0,20.0,,,other
113335036,0.0,187649.0,100.0,100.0,0.0,,0.0,1156031.0,,50,1750960.0,THE ENRICHMENT CENTER INC,,50.0,33.33333333333333,,,other
42035743,0.0,248151.0,100.0,100.0,0.0,,0.0,0.0,,240,1753284.0,BSA-CENTRAL RECORDS BUREAUCENTRAL RECORDS BUREAU INC,,33.33333333333333,,,,other
50496668,0.0,162053.0,100.0,100.0,0.0,1826.951923076923,162053.0,352056.0,WWW.SAKONNETPOINTCLUB.ORG,105,1768082.0,SAKONNET POINT CLUB,,25.0,0.0,100.0,,other
42144159,169312.0,0.0,-1.0,0.0,100.0,6944.238888888889,169312.0,1419275.0,WWW.CCAE.ORG,181,1801441.0,CAMBRIDGE CENTER FOR ADULTEDUCATION INC,,23.52941176470588,66.66666666666666,100.0,,other
113133786,210091.0,164791.0,-27.48936531728068,50.0,50.0,9395.82191780822,210091.0,1060777.0,WWW.HAMPTONSFILMFEST.ORG,75,1811268.0,THE HAMPTONS INTERNATIONAL FILMFESTIVAL INC,,50.0,80.0,,,other
46173751,0.0,165505.0,100.0,100.0,0.0,13462.119402985074,165505.0,1067467.0,WWW.WIGHTMANTENNIS.ORG,68,1902470.0,THE HAZEL HOTCHKISS WIGHTMANTENNIS CENTER,0.0,20.0,42.85714285714285,,,other
42443175,0.0,189904.0,100.0,100.0,0.0,16987.2875,189904.0,1548887.0,bmsmusic.org,81,1909389.0,Brookline Music School Inc,,45.45454545454545,20.0,0.0,,other
61114196,42653.0,0.0,-1.0,0.0,100.0,16991.444444444445,42653.0,1266037.0,WWW.BRIANHOUSE.ORG,73,1945506.0,ADULT VOCATIONAL PROGRAMS INC,,0.0,33.33333333333333,0.0,,college
41850150,0.0,236436.0,100.0,100.0,0.0,6271.333333333333,236436.0,913740.0,,109,2109286.0,THE SOMERSET CLUB,33.33333333333333,16.666666666666664,0.0,0.0,,other
41659530,0.0,182410.0,100.0,100.0,0.0,7171.202127659574,182410.0,856503.0,WWW.NBYC.COM,95,2159932.0,NEW BEDFORD YACHT CLUB,100.0,40.0,16.666666666666664,,,other
60436500,0.0,200618.0,100.0,100.0,0.0,4904.930434782608,200618.0,764685.0,,116,2193194.0,THE MADISON BEACH CLUB INC,,65.625,33.33333333333333,,,other
61594125,0.0,175077.0,100.0,100.0,0.0,13461.264150943396,175077.0,888524.0,WWW.FAIRFIELDTHEATRE.ORG,54,2195145.0,FAIRFIELD THEATRE COMPANY INC,0.0,25.0,0.0,,,other
112037770,318590.0,211888.5,-50.3573813585919,40.0,60.0,,0.0,690560.0,WWW.QCC.CUNY.EDU,62,2225049.0,QUEENSBOROUGH COMMUNITY COLLEGEAUXILIARY ENTERPRISE ASSOCIATION,,77.77777777777779,66.66666666666666,,,college
50370944,168358.0,0.0,-1.0,0.0,100.0,20558.36923076923,168358.0,1504652.0,WWW.CHILDRENMUSEUM.ORG,66,2246076.0,PROVIDENCE CHILDREN'S MUSEUM,,75.0,60.0,,,other
43364080,202530.0,6846.0,-2858.369851007888,50.0,50.0,29605.25,6846.0,1664740.0,www.harborcarenh.org,58,2258547.0,Healthy at Home Inc,,50.0,25.0,,,other
46179391,217816.0,0.0,-1.0,0.0,100.0,18221.122807017546,217816.0,1256420.0,WWW.METCOINC.ORG,58,2265940.0,METROPOLITAN COUNCIL FOREDUCATIONAL OPPORTUNITY INC (METCO),,42.85714285714285,60.0,,,other
60719480,159408.0,0.0,-1.0,0.0,100.0,18130.83908045977,159408.0,1736791.0,,88,2277554.0,VISITING NURSES OF THE LOWER VALLEY INC,,100.0,40.0,,,hospital
50606695,214594.0,0.0,-1.0,0.0,100.0,14693.13846153846,214594.0,1169648.0,WWW.HARMONYPROGRAM.ORG,66,2293212.0,THE HARMONY PROGRAM INC,,42.85714285714285,66.66666666666666,,,other
113166843,98328.0,0.0,-1.0,0.0,100.0,36806.688524590165,29690.0,2274898.0,WWW.HANAC.ORG,63,2311526.0,SPITI MANAGEMENT COMPANY INC,100.0,100.0,42.85714285714285,,,other
112838138,232542.0,180535.0,-28.807156507048493,50.0,50.0,10164.988095238095,232542.0,1266936.0,WWW.TPBK.ORG,86,2351028.0,TURNING POINT BROOKLYN INC,,66.66666666666666,20.0,,,other
61308203,229381.0,0.0,-1.0,0.0,100.0,29539.134615384617,229381.0,1765416.0,WWW.PARENTSFOUNDATION.COM,53,2358814.0,PARENTS' FOUNDATION FOR TRANSITIONALLIVING INC,,100.0,50.0,,,other
60982494,56457.0,0.0,-1.0,0.0,100.0,13856.830357142857,56457.0,1608422.0,WWW.ABILITIESWITHOUTBOUNDARIES.ORG,113,2375329.0,ABILITIES WITHOUT BOUNDARIES INC,,25.0,0.0,,100.0,other
111660855,0.0,253171.0,100.0,100.0,0.0,17580.436781609194,253171.0,1782669.0,WWW.GBBGC.ORG,88,2408169.0,GRENVILLE BAKER BOYS AND GIRLS CLUB INC,66.66666666666666,50.0,20.0,,,other
61101081,154255.0,206371.0,25.25354822140708,50.0,50.0,10721.202898550724,154255.0,894018.0,WWW.SHEHANCENTER.ORG,71,2412954.0,CARDINAL SHEHAN CENTER INC,,25.0,42.85714285714285,,,other
61051588,185656.0,0.0,-1.0,0.0,100.0,35611.117647058825,185656.0,2001823.0,PATHWAYS-GREENWICH.ORG,52,2426258.0,PATHWAYS INC,,,52.63157894736842,,,other
41174990,0.0,190563.5,100.0,100.0,0.0,15213.333333333334,228942.0,1157007.0,,53,2435839.0,CHILTON CLUB,0.0,93.33333333333331,85.71428571428571,,,other
112598350,0.0,39750.0,100.0,100.0,0.0,10789.47191011236,39750.0,1960276.0,,179,2454827.0,BERGEN BEACH YOUTH ORGANIZATIONINC,,0.0,28.57142857142857,,,other
20503267,0.0,173547.5,100.0,100.0,0.0,15280.105263157897,193195.0,1218061.0,,59,2524195.0,Baker Hill Golf Club,,50.0,50.0,0.0,,other
61481092,0.0,206613.0,100.0,100.0,0.0,10519.454545454546,206613.0,1016611.0,WWW.WEEKAPAUGGOLFCLUB.COM,78,2571208.0,WEEKAPAUG GOLF CLUB,,36.36363636363637,50.0,0.0,,other
113442879,253326.0,260467.0,2.741614100826592,66.66666666666666,33.33333333333333,17205.74074074074,145503.0,1539168.0,WWW.NYFAC.ORG,84,2595846.0,NEW YORK FAMILIES FOR AUTISTIC CHILDRENINC,,31.25,45.45454545454545,,0.0,other
110519656,152245.0,0.0,-1.0,0.0,100.0,17862.275862068964,152245.0,1188257.0,WWW.BEAVERDAM.ORG,59,2629105.0,BEAVER DAM WINTER SPORTS CLUB INC,,21.428571428571427,16.666666666666664,,,other
42103924,0.0,172220.0,100.0,100.0,0.0,19618.87037037037,172220.0,1231639.0,WWW.BGCL.ORG,55,2673885.0,BOYS & GIRLS CLUB OF LYNN INC,,25.0,28.57142857142857,,,other
111791179,162099.0,0.0,-1.0,0.0,100.0,12414.09677419355,162099.0,1316610.0,,94,2685322.0,COLD SPRING HARBOR BEACH CLUB INC,100.0,25.0,66.66666666666666,,,other
61219372,110188.0,0.0,-1.0,0.0,100.0,9876.812154696132,110188.0,1897891.0,WWW.WATERBURYYOUTHSERVICES.ORG,182,2735271.0,WATERBURY YOUTH SERVICES INC,,50.0,75.0,,100.0,other
110571670,0.0,182766.0,100.0,100.0,0.0,15440.590163934428,182766.0,1124642.0,WWW.BRIDGEHAMPTONCLUB.ORG,62,2757597.0,BRIDGEHAMPTON CLUB,100.0,60.0,50.0,0.0,,other
131635274,204652.0,0.0,-1.0,0.0,100.0,22413.163636363635,204652.0,1437376.0,WWW.NEIGHBORHOODPLAYHOUSE.ORG,56,2768934.0,NEIGHBORHOOD PLAYHOUSE INC,,28.57142857142857,50.0,,,other
112828494,169908.5,151203.0,-12.37111697519229,20.0,80.0,,0.0,2474469.0,WWW.STONYBROOK.EDU/CHILDCARE,137,2770875.0,STONY BROOK CHILD CARE SERVICES INC,,57.89473684210527,75.0,,,other
113246332,219876.0,0.0,-1.0,0.0,100.0,31019.57627118644,219876.0,2050031.0,www.centerforrapidrecovery.org,60,2800984.0,Center For Rapid Recovery Inc,,100.0,75.0,,,other
112982792,0.0,0.0,-1.0,0.0,100.0,,0.0,1956265.0,www.parkslopecenter.org,77,2804988.0,Park Slope Center for Mental Health Inc,,54.54545454545454,50.0,,100.0,hospital
112555060,249730.0,289208.0,13.65038311526652,33.33333333333333,66.66666666666666,4835.443113772455,169006.0,976525.0,WWW.CCBQ.ORG,170,2815063.0,PROGRESS OF PEOPLE'S MANAGEMENT CORP,33.33333333333333,0.0,37.5,,,other
41683440,0.0,167891.0,100.0,100.0,0.0,7987.804054054054,167891.0,1350086.0,WWW.OAKHILLCC.COM,149,2864182.0,OAK HILL COUNTRY CLUB,0.0,30.0,0.0,,,other
42971480,194242.0,0.0,-1.0,0.0,100.0,22585.102040816328,194242.0,1300912.0,WWW.RMHC-CTMA.ORG,50,2931535.0,RONALD MCDONALD HOUSE CHARITIES OFCONNECTICUT AND WESTERN MASS INC,0.0,47.05882352941176,33.33333333333333,,,other
