ein,org_name,city,state_code,dei_last_updated,race_leader,gender1_leader,gender2_leader,orientation_leader,disability_status_leader,race_coleader,gender1_coleader,gender2_coleader,orientation_coleader,disability_status_coleader,total_board,asian_board,black_board,hispanic_board,middle_eastern_board,native_american_board,pacific_islander_board,white_board,multi_racial_board,other_ethnicity_board,race_decline_to_state_board,race_unknown_board,female_board,male_board,non_binary_board,gender_decline_to_state_board,gender_unknown_board,trans_board,cis_board,gender2_decline_to_state_board,gender2_unknown_board,lgbtqia_board,straight_board,orientation_decline_to_state_board,orientation_unknown_board,with_disability_board,without_disability_board,disability_decline_to_state_board,disability_unknown_board,total_senior_staff,asian_senior_staff,black_senior_staff,hispanic_senior_staff,middle_eastern_senior_staff,native_american_senior_staff,pacific_islander_senior_staff,white_senior_staff,multi_racial_senior_staff,other_ethnicity_senior_staff,race_decline_to_state_senior_staff,race_unknown_senior_staff,female_senior_staff,male_senior_staff,non_binary_senior_staff,gender_decline_to_state_senior_staff,gender_unknown_senior_staff,trans_senior_staff,cis_senior_staff,gender2_decline_to_state_senior_staff,gender2_unknown_senior_staff,lgbtqia_senior_staff,straight_senior_staff,orientation_decline_to_state_senior_staff,orientation_unknown_senior_staff,with_disability_senior_staff,without_disability_senior_staff,disability_decline_to_state_senior_staff,disability_unknown_senior_staff,total_staff,asian_staff,black_staff,hispanic_staff,middle_eastern_staff,native_american_staff,pacific_islander_staff,white_staff,multi_racial_staff,other_ethnicity_staff,race_decline_to_state_staff,race_unknown_staff,female_staff,male_staff,non_binary_staff,gender_decline_to_state_staff,gender_unknown_staff,trans_staff,cis_staff,gender2_decline_to_state_staff,gender2_unknown_staff,lgbtqia_staff,straight_staff,orientation_decline_to_state_staff,orientation_unknown_staff,with_disability_staff,without_disability_staff,disability_decline_to_state_staff,disability_unknown_staff,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female,category,Average Salary,CEO Pay Ratio,Candid Reporting,Diversity Reporting,Highest Compensated,Officers,Pay Gap,Trustees,total_score
431880952,Missouri Foundation for Health,ST LOUIS,MO,1.68964E+18,Black/African American,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15,1,5,2,,,,6,1,,,,7,8,,,,,,,,1,14,,,1,14,,,9,,,,,,,,,,,9,,,,,9,,,,9,,,,9,,,,9,53,,3,,,,,4,1,,45,,5,3,,45,,,,,53,,,,53,,,,53,248812.4,253096,1.692480324,44.44444444,55.55555556,91323.70213,388438,6548660,WWW.MFFH.ORG,56,167005980,60,50,50,100,,other,5,5,5,5,6,10,8,10,54
262418959,Digital Green Foundation,SAN FRANCISCO,CA,1.66424E+18,Asian/Asian American,Male,,,,,,,,,9,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,7,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,138,,,,,,,,,,,,56,82,,,,,,,,,,,,,,,,178075.6667,223310,20.25629543,25,75,206907.5714,223310,3654243,WWW.DIGITALGREEN.ORG,18,22099634,50,50,50,,,other,5,5,5,0,10,10,6,10,51
831740146,United States Energy Foundation,SAN FRANCISCO,CA,1.7026E+18,White/Caucasian/European,Male,Not transgender (cisgender),,,,,,,,13,1,4,2,,,,6,,,,,7,6,,,,,,,,,,,,,,,,6,0,2,1,,,,3,,,,,3,3,,,,,,,,,,,,,,,,121,16,24,18,,,,53,9,,1,,88,31,2,,,,,,,,,,,,,,,384767,348210.3333,-10.49844395,66.66666667,33.33333333,119620.1932,534119,13770140,WWW.EF.ORG,97,181891970,40,36.36363636,50,100,,other,5,4,5,5,6,10,10,6,51
366110299,American Bar Association Fund for Justice and Education,Chicago,IL,1.64503E+18,White/Caucasian/European,Male,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,47,4,6,2,,1,,26,1,,,7,23,24,,,,,47,,,1,46,,,,,,47,100,5,12,7,,3,,72,1,,,,59,41,,,,,,,,,,,,,,,,866,55,156,242,,3,,385,23,2,,,553,313,,,,,,,,,,,,,,,,199918.3333,265668.2,24.74886594,62.5,37.5,86181.0339,367890,47690225,www.americanbar.org/fje,539,103281938,60,45.94594595,50,33.33333333,,other,5,5,5,5,6,10,6,8,50
954714047,ONESKY,Berkeley,CA,1.6632E+18,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,15,6,,,,,,9,,,,,6,9,,,,,,,15,,,,15,,,,15,7,4,1,,,,,2,,,,,5,2,,,,,,,7,,,,7,,,,7,136,129,1,,,,,6,,,,,133,3,,,,,,,136,,,,136,,,,136,202728.6667,159135,-27.39414124,25,75,171973.7143,253255,3174953,http://onesky.org,18,4544876,50,50,80,,,other,5,5,5,5,10,0,10,10,50
521257057,World Resources Institute,WASHINGTON,DC,1.63664E+18,Asian/Asian American,Male,Not transgender (cisgender),Decline to state,Decline to state,,,,,,27,4,2,3,,0,,16,2,,,,10,17,,,,,27,,,,,,,,,,,34,,,,,,,,,,,,14,20,,,,,,,,,,,,,,,,1322,596,80,202,,0,,423,21,,0,0,743,579,0,0,0,,,,,,,,,10,519,53,740,243419.4,232001.4375,-4.921505066,61.53846154,38.46153846,105974.0546,296550,81811692,WWW.WRI.ORG,740,193968394,40,33.33333333,50,42.85714286,0,other,5,5,5,5,6,10,10,4,50
860212873,Unidosus,WASHINGTON,DC,1.66415E+18,Hispanic/Latino/Latina/Latinx,,,,,,,,,,24,,,22,,,,,,,,2,12,12,,,,,,,,,,,,,,,,15,,,13,,,,2,,,,,12,3,,,,,,,,,,,,,,,,143,6,7,112,,,,17,1,,,,99,44,,,,,,,,,,,,,,,,374487.5,260648,-43.67557012,33.33333333,66.66666667,101019.6832,668841,19293038,WWW.UNIDOSUS.ORG,170,59760466,60,50,62.5,,,other,5,3,5,5,6,6,10,10,50
271067272,Code for America Labs,SAN FRANCISCO,CA,1.69577E+18,Hispanic/Latino/Latina/Latinx,Female,Decline to state,Decline to state,Decline to state,,,,,,5,,,1,,,,4,0,,,,3,2,,,,,,,,,,,,,,,,8,,1,3,,,,4,,,,,5,3,,,,,,,,,,,,,,,,177,33,25,30,,,,74,12,,3,,115,55,7,,,,,,,,,,,,,,,228748.1667,210973,-8.425327728,40,60,115591.2517,312248,19670660,WWW.CODEFORAMERICA.ORG,161,93211076,50,50,75,,,other,5,5,5,5,10,0,10,10,50
841166148,Water for People,Greenwood Village,CO,1.67806E+18,Black/African American,Male,Not transgender (cisgender),Decline to state,Decline to state,White/Caucasian/European,Male,Not transgender (cisgender),Decline to state,Decline to state,14,1,2,1,,,,9,1,,,,9,5,,,,,,14,,,,,,,,,,6,,1,,,,,5,,,,,4,2,,,,,6,,,,,,,,,,,220,20,60,80,,,,40,20,,,,110,90,20,,,,,,,,,,,,,,,280860,190330.5,-47.5643683,66.66666667,33.33333333,187193.931,280860,11518769,WWW.WATERFORPEOPLE.ORG,61,41191880,60,62.5,54.54545455,,,other,5,5,5,5,6,8,10,6,50
593725701,United Way Suncoast Inc,TAMPA,FL,1.68791E+18,White/Caucasian/European,Female,Not transgender (cisgender),Heterosexual or Straight,Person without a disability,,,,,,30,,4,,,,,25,1,,,,14,16,,,,,,,,,,,,,,,,6,,1,,,,,5,,,,,5,1,,,,,6,,,,,,,,6,,,67,1,16,7,,,,39,3,,,1,53,14,,,,,,,,,,,,,,,,187556.6667,161304.5,-16.27491277,40,60,67219.61429,235569,5590652,WWW.UNITEDWAYSUNCOAST.ORG,75,17914764,50,46.66666667,71.42857143,0,,other,4,5,5,5,10,2,10,8,49
