ein,org_name,web_address,num_employees,total_revenue,total_compensation,highest_salary,avg_employee_comp,pay_gap,percent_male,percent_female,category_gender_percentages
01-0347504,COASTAL ENTERPRISES INC,WWW.CEIMAINE.ORG,69,13614519.0,5984171.0,253594.0,75092.62903225806,-1.9004456597006498,42.857142857142854,57.14285714285714,{'IndividualTrusteeOrDirectorInd_percent_female': 57.14285714285714}
01-0482628,Jobs for Maine's Graduates Inc,www.jmg.org,179,14678045.0,11309773.0,0.0,64260.07386363636,-1.0,66.66666666666666,33.33333333333333,{'IndividualTrusteeOrDirectorInd_percent_female': 33.33333333333333}
01-0504905,GULF OF MAINE RESEARCH INSTITUTE,WWW.GMRI.ORG,140,15490107.0,7818989.0,977818.0,41375.18320610687,57.57249203676898,44.44444444444444,55.55555555555556,{'IndividualTrusteeOrDirectorInd_percent_female': 55.55555555555556}
01-0566033,ISRAEL EMERGENCY ALLIANCE,WWW.STANDWITHUS.COM,117,23212771.0,9082496.0,289536.0,70751.83928571429,-9.49139277787901,60.0,40.0,{'IndividualTrusteeOrDirectorInd_percent_female': 40.0}
01-6000802,Portland Public Library,www.portlandlibrary.com,98,9283612.0,3726989.0,151670.0,36858.9587628866,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
01-6021200,Midcoast Humane,www.midcoasthumane.org,51,4016788.0,1407516.0,123318.0,25683.96,-100.0,0.0,100.0,{'IndividualTrusteeOrDirectorInd_percent_female': 100.0}
01-6022787,Medical Care Development Inc,www.mcd.org,204,32391306.0,18830521.0,402957.0,86780.04615384615,18.582866310743974,66.66666666666666,33.33333333333333,{'IndividualTrusteeOrDirectorInd_percent_female': 33.33333333333333}
02-0222163,New Hampshire Catholic Charities,www.cc-nh.org,1104,96098300.0,37511580.0,348159.0,32995.30510018215,26.611153500228045,66.66666666666666,33.33333333333333,{'IndividualTrusteeOrDirectorInd_percent_female': 33.33333333333333}
02-0259874,BOYS & GIRLS CLUBS OF CENTRAL NH,WWW.NHYOUTH.ORG,230,8851535.0,5569819.0,151912.0,23658.98253275109,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
02-0261932,HOLT-ELWELL MEMORIAL FOUNDATIONOPERATING CAMP MOWGLIS,WWW.MOWGLIS.ORG,57,1605719.0,619377.0,152326.0,8340.19642857143,100.0,100.0,0.0,{'IndividualTrusteeOrDirectorInd_percent_female': 0.0}
02-0272138,THE LAKES REGION MENTAL HEALTHCENTER INC,WWW.LRMHC.ORG,272,16794140.0,13169975.0,331030.0,45428.496268656716,37.9578683749021,50.0,50.0,"{'HighestCompensatedEmployeeInd_percent_female': 0.0, 'OfficerInd_percent_female': 66.66666666666666}"
02-0458174,Amoskeag Health,www.amoskeaghealth.org,337,24250570.0,17721332.0,333173.0,47976.425531914894,30.936987083422533,25.0,75.0,"{'IndividualTrusteeOrDirectorInd_percent_female': 85.71428571428571, 'OfficerInd_percent_female': 0.0}"
02-0784790,FII - NATIONAL,WWW.UPTOGETHER.ORG,55,76416139.0,5664245.0,271317.0,91341.5625,24.94090730732734,42.857142857142854,57.14285714285714,{'IndividualTrusteeOrDirectorInd_percent_female': 57.14285714285714}
