Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
11342,13082,30693,1160125,450572757,344618.5,257653.14285714287,-33.752880395127,77.77777777777779,22.22222222222222,55688.78125,397163.0,11403014.0,ROADSFOUNDATION.ORG,169,16408097.0,ROADS FOUNDATION INC THE,40.0,55.55555555555556,37.5,,
11343,13084,30700,1160439,450650646,167300.0,0.0,-1.0,0.0,100.0,30406.984615384616,167300.0,2143754.0,WWW.DIVINITYPROPHET.ORG,66,6480550.0,DIVINITY PROPHET AND ASSOCIATES,,100.0,33.33333333333333,,
11344,13085,30702,1160596,450831620,165354.0,0.0,-1.0,0.0,100.0,4381.007874015748,175885.0,887096.0,WWW.ELDOFEST.COM,129,-638329.0,EL DORADO FESTIVALS & EVENTS INC,,50.0,100.0,,
11345,13086,30704,1160644,450896436,150460.0,282481.0,46.736240667513925,50.0,50.0,20806.45914396887,282481.0,5780201.0,www.epsi-solutions.org,259,8188720.0,ENTERPRISE PROFESSIONAL SERVICES INC,50.0,0.0,33.33333333333333,,
11347,13088,30709,1160860,451066585,238318.5,259985.3333333333,8.333867551502909,75.0,25.0,63005.333333333336,411898.0,6572933.0,WWW.THEWATERINSTITUTE.ORG,80,12590476.0,THE WATER INSTITUTE OF THE GULF,20.0,50.0,0.0,50.0,
11348,13091,30715,1161170,451347085,166626.0,150202.0,-10.934608061144326,50.0,50.0,46267.13675213675,166626.0,5730083.0,WWW.CITYCHARTERSCHOOLS.ORG,119,10451677.0,CITY CHARTER SCHOOLS,,57.14285714285714,80.0,,
11349,13092,30718,1161439,451544299,57506.0,313869.5,81.6783726994818,66.66666666666666,33.33333333333333,16638.825708061002,129612.0,46010444.0,,2757,46029774.0,GOODWILL RETAIL SERVICES,,,40.0,50.0,
11352,13098,30760,1164206,452586290,231550.0,280549.5,17.46554529592817,40.0,60.0,6110.595523581135,379614.0,8900104.0,WWW.EMPLOYU.ORG,1256,11008828.0,EMPLOYU INC,60.0,100.0,75.0,,
11353,13100,30763,1164370,452615365,338533.0,291836.3333333333,-16.00097771696237,75.0,25.0,13737.682291666666,196157.0,5471427.0,WWW.JFSCARE.ORG,388,8126794.0,JFS CARE,,0.0,50.0,,
11354,13101,30765,1164492,452637507,329320.0,274215.4,-20.095370281902465,71.42857142857143,28.57142857142857,83103.51162790698,426369.0,5603168.0,HTTPS://WWW.THEFGA.ORG/,50,13152294.0,FOUNDATION FOR GOVERNMENTACCOUNTABILITY INC,40.0,50.0,50.0,,
11355,13102,30766,1164501,452638273,191208.4,217524.1,12.097831918394334,66.66666666666666,33.33333333333333,49931.46153846154,342949.0,16762572.0,WWW.BURNINGMAN.ORG,288,27748874.0,BURNING MAN PROJECT,20.0,29.411764705882355,33.33333333333333,50.0,
11356,13105,30775,1165265,452766110,522374.75,370171.375,-41.117002901696544,66.66666666666666,33.33333333333333,62087.70434782609,1269358.0,19331042.0,WWW.MGMA.COM,242,36087217.0,MGMA-ACMPE,40.0,30.76923076923077,28.57142857142857,50.0,
11357,13106,30780,1165674,452831912,0.0,159564.0,100.0,100.0,0.0,18051.413265306124,159564.0,7235718.0,WWW.LIFE360COMMUNITYSERVICES.ORG,393,26351423.0,LIFE360 COMMUNITY SERVICES,33.33333333333333,100.0,0.0,,
11359,13108,30786,1165847,452861988,0.0,0.0,-1.0,100.0,0.0,,0.0,3721979.0,http://myhso.org/,245,5732337.0,Hawaii Symphony Orchestra,,36.36363636363637,25.0,0.0,0.0
11360,13109,30788,1166000,452893839,287189.0,179410.0,-60.074131876706986,50.0,50.0,30006.56779661017,287189.0,4007374.0,www.elpasoansfightinghunger.org,120,290096565.0,EL PASOANS FIGHTING HUNGER,,45.45454545454545,50.0,,
11363,13113,30799,1166629,453019142,172349.0,0.0,-1.0,0.0,100.0,44470.02272727273,172349.0,7999073.0,WWW.BETAACADEMY.ORG,177,15616829.0,THE BETA FOUNDATION,,66.66666666666666,66.66666666666666,,
11367,13119,30814,1168536,453440954,338755.0,337978.0,-0.229896620490091,66.66666666666666,33.33333333333333,39240.76584022039,338755.0,15259109.0,www.hhisa.com,366,22157883.0,HHI Services Inc,,100.0,50.0,,
11368,13120,30815,1168581,453452817,118459.0,185749.0,36.22630539060776,50.0,50.0,41077.85,247728.0,7180872.0,HTTPS://WWW.BRIDGEHRC.ORG/,164,12577630.0,BRIDGE STEPS,,23.07692307692308,100.0,,66.66666666666666
11369,13121,30816,1168614,453457853,188696.5,156855.0,-20.299958560453923,33.33333333333333,66.66666666666666,61991.68224299065,205104.0,7167358.0,WWW.VISIONTOLEARN.ORG,110,15923530.0,VISION TO LEARN,0.0,37.5,50.0,,
11370,13122,30818,1168651,453463744,0.0,150321.0,100.0,100.0,0.0,15465.864,150321.0,2083554.0,WWW.NWOBS.ORG,126,3590566.0,NORTHWEST OUTWARD BOUND SCHOOL,,63.63636363636363,50.0,,
11371,13123,30820,1168808,453527806,263672.0,312444.6666666667,15.610017347071595,42.85714285714285,57.14285714285714,103459.6616915423,536581.0,22787414.0,WWW.AMPP.ORG,208,16102235.0,ASSOCIATION FOR MATERIALS PROTECTION AND PERFORMANCE INC,40.0,25.0,50.0,,
11372,13127,30839,1170165,453733823,223874.0,247889.0,9.687803815417384,62.5,37.5,77616.31818181818,338720.0,17279098.0,WWW.CONNECTFORHEALTHCO.COM,206,46009200.0,COLORADO HEALTH BENEFIT EXCHANGE,40.0,66.66666666666666,33.33333333333333,,
11373,13128,30841,1170351,453761886,287017.0,152351.0,-88.39193704012445,50.0,50.0,45567.87444933921,287017.0,21127183.0,WWW.DISCOVERYHSF.ORG,456,39738669.0,DISCOVERY HEALTH SCIENCES FOUNDATION INC,100.0,45.45454545454545,50.0,,
11376,13133,30854,1171130,453910992,155711.0,225128.0,30.834458619096694,66.66666666666666,33.33333333333333,2265.208845208845,231027.0,1527907.0,WWW.JEWISHPHOENIX.ORG,410,6708831.0,THE JEWISH COMMUNITY ASSOCIATION OFGREATER PHOENIX,,50.0,57.14285714285714,,
11377,13134,30856,1171200,453932748,0.0,164043.0,100.0,100.0,0.0,37453.17910447761,164043.0,2673406.0,WWW.CFHOMELESS.ORG,68,5569719.0,CONGREGATIONS FOR THE HOMELESS,,57.14285714285714,40.0,,
11378,13136,30865,1171724,454005918,179292.25,236998.3333333333,24.34872959725456,42.85714285714285,57.14285714285714,64496.93103448276,292923.0,20132274.0,HTTPS://WWW.EDNOVATE.ORG/,297,50209560.0,EDNOVATE INC,60.0,80.0,42.85714285714285,,
11381,13139,30878,1173231,454292522,190717.5,270779.0,29.567100846077427,66.66666666666666,33.33333333333333,56465.392857142855,467365.0,7788675.0,WWW.EMBRACEFAMILIES.ORG,118,12340531.0,EMBRACE FAMILIES INC,60.0,37.5,20.0,,
11382,13141,30888,1174519,454536607,188813.0,0.0,-1.0,0.0,100.0,63576.230769230766,188813.0,4321268.0,WWW.PSASB.US,66,7103017.0,PSASB INC,0.0,50.0,60.0,,
11384,13143,30890,1174745,454575245,125000.0,225000.0,44.44444444444444,50.0,50.0,11796.718181818182,225000.0,1647639.0,,112,3081687.0,LEARNING YOUR FUNCTION INC,,50.0,,,
11386,13148,30912,1176426,454885204,228711.0,0.0,-1.0,0.0,100.0,48211.832653061225,228711.0,12040610.0,WWW.CORNERSTONEPREPMEMPHIS.ORG/CAPSTONE-EDUCAT,246,20250688.0,CAPSTONE EDUCATION GROUP INC,,20.0,33.33333333333333,,
