PersonNm,TitleTxt,BaseCompensationFilingOrgAmt,CompensationBasedOnRltdOrgsAmt,BonusFilingOrganizationAmount,BonusRelatedOrganizationsAmt,OtherCompensationFilingOrgAmt,OtherCompensationRltdOrgsAmt,DeferredCompensationFlngOrgAmt,DeferredCompRltdOrgsAmt,NontaxableBenefitsFilingOrgAmt,NontaxableBenefitsRltdOrgsAmt,TotalCompensationFilingOrgAmt,TotalCompensationRltdOrgsAmt,CompReportPrior990FilingOrgAmt,CompReportPrior990RltdOrgsAmt
LLOYD H DEAN,CHIEF EXECUTIVE OFFICER,2679974,0,16982400,0,6158250,0,9476825,0,165424,0,35462873,0,6101062,0
MARVIN O'QUINN,CHAIR/ PRESIDENT & CHIEF OPERATING O,1717376,0,4097012,0,461539,0,704233,0,89478,0,7069638,0,425001,0
CHARLES P FRANCIS,"SEVP, CHIEF STRATEGY OFFICER",1101216,0,2260516,0,951976,0,1297958,0,82671,0,5694337,0,926185,0
DANIEL J MORISSETTE CPA,"TREASURER/ SEVP, CHIEF FINANCIAL OFF",1406997,0,2977013,0,11341,0,517062,0,46482,0,4958895,0,0,0
ELIZABETH SHIH,"BOARD MEMBER/ SEVP, CHIEF ADMINISTRA",1056903,0,2157760,0,488102,0,683779,0,103035,0,4489579,0,436130,0
ROBERT WIEBE MD,"EVP, CHIEF MEDICAL OFFICER",1105165,0,2260500,0,264156,0,438522,0,40169,0,4108512,0,247601,0
CHARLES COVA,OPERATIONS CONSULTANT (THRU 4/2/21),171795,0,768635,0,2697656,0,184445,0,2285,0,3824816,0,1052658,0
DARRYL ROBINSON,"SEVP, CHIEF HUMAN RESOURCE OFFICER",960981,0,1952247,0,228735,0,375706,0,57374,0,3575043,0,216600,0
JULIE SPRENGEL,"SVP OPERATIONS & CEO, SOUTHERN CALIF",1196469,0,1874124,0,17380,0,62912,0,18162,0,3169047,0,0,0
MITCH MELFI ESQ JD,SECRETARY/ VICE CHAIR/CHIEF LEGAL OF,0,951216,0,1952250,0,180168,0,17100,0,19794,0,3120528,0,0
LAURIE HARTING,SYSTEM SPECIAL PROJECTS LEADER,556589,0,1027949,0,538841,0,902221,0,49165,0,3074765,0,510246,0
